"register","meansDim1_statSummary"
"Broadcast discussion",0.700870035211216
"Broadcast documentary",0.358186336115747
"Broadcast news",-0.415435508479582
"Conversation BNC",0.375371787095675
"Conversation SBCSAE",0.195928854822225
"Formal speech",0.317310515435389
"Informational blog",-0.11636149762194
"Interactive discussion",-0.268146497469016
"Interview",-0.149396778881255
"Narratives",-0.762295884579317
"News blog",-0.467273510869056
"Online interview",0.203236750905556
"Oral narrative",-0.807728237978899
"Personal blog",-0.454061671376313
"Podcasts",1.03314649529528
"Scripted speech",-0.0122957775738296
"Speech",0.601685491418968
"Spoken",0.176461993824608
"Sports blog",-0.969267738398704
"Sports live",-0.592296603033854
"TV scripts",-0.481541547126572
